"spce_id","examin_realm_se_code_nm","spcs_lcnm","spcs_scncenm","examin_year","examin_begin_de","examin_end_de","geom"
"007000000000621220",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2015",,,POINT (225049.58920000028 413138.0767999999)
"007000000000621230",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2015",,,POINT (225049.58920000028 413138.0767999999)
"007000000000621241",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (222250.25160000008 414742.68209999986)
"007000000000621245",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (223705.07799999975 413357.6788999997)
"007000000000621258",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (226718.69180000015 410359.5750999991)
"007000000000621269",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2015",,,POINT (186241.5558000002 420221.3315999992)
"007000000000621271",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2015",,,POINT (187489.89680000022 421668.21869999915)
"007000000000621272",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (300461.02979999967 513619.5982000008)
"007000000000621305",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (273920.73539999966 330862.5803999994)
"007000000000621310",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (275782.33220000006 333879.74259999953)
"007000000000621316",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (273126.26389999967 334483.84300000034)
"007000000000621463",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (220665.84059999976 570550.7622999996)
"007000000000621473",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (224661.15940000024 571656.3463000003)
"007000000000621508",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (193434.64020000026 546366.6381999999)
"007000000000621513",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (312741.80840000045 431234.6956999991)
"007000000000621537",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2016",,,POINT (222531.99689999968 539293.5640999991)
"007000000000621570",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2016",,,POINT (218168.01470000017 539687.3476999998)
"007000000000621594",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2016",,,POINT (215950.3356999997 536122.0303000007)
"007000000000621599",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2016",,,POINT (213288.34640000015 535282.5308999997)
"007000000000621604",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2016",,,POINT (221916.5800999999 535631.4652999993)
"007000000000621606",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2016",,,POINT (224847.30090000015 537632.8914999999)
"007000000000621683",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (250559.91420000046 583136.3103)
"007000000000621693",양서파충류,까치살모사,"Gloydius saxatilis (Emelianov, 1937)","2014",,,POINT (251958.01329999976 586684.7019999996)
"007000000000621704",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (206300.12540000025 250573.3169999998)
"007000000000621723",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (203432.40869999956 256469.9439000003)
"007000000000621731",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (206989.7566999998 255630.72030000016)
"007000000000621739",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (212789.6255999999 247385.28199999966)
"007000000000621750",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (311862.06400000025 394717.64350000024)
"007000000000621757",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (314323.6261 393725.2838000003)
"007000000000621764",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (314804.54640000034 390426.8933000006)
"007000000000621774",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (318611.32969999965 390786.8646000009)
"007000000000621782",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (321077.8470999999 388306.12480000034)
"007000000000621788",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (317578.2229000004 385831.4528000001)
"007000000000621798",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (277315.6769000003 264587.1532000005)
"007000000000621838",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (217170.83910000045 423174.25769999996)
"007000000000621814",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2015",,,POINT (215963.51819999982 415262.4827999994)
"007000000000621815",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2015",,,POINT (221420.24289999995 413221.35979999974)
"007000000000621834",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (219326.80399999954 425082.78170000017)
"007000000000621846",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2017",,,POINT (212825.69230000023 416771.96199999936)
